local_datetime,day_ahead_price,SP,imbalance_price,valueSum,temperature,TCO2_per_h,gCO2_per_kWh,nuclear,biomass,coal,gas,hydro,wind,solar,demand,pumped_storage,wind_onshore,wind_offshore,belgian,dutch,french,ireland,northern_ireland,irish
2015-01-01 00:00:00+00:00,37.31,1.0,31.3,31.3,6.6,10182.0,332.0,8.05,1.156,8.874,3.383,0.44,7.068,0,30.662,-0.02,,,0.0,0.854,1.003,0.0,0.0,-0.146
2015-01-01 00:30:00+00:00,38.2,2.0,31.12,31.12,6.6,10794.0,345.0,8.043,1.157,9.427,3.523,0.435,6.917,0,31.26,-0.024,,,0.0,0.903,0.997,0.003,0.0,-0.118
2015-01-01 01:00:00+00:00,34.42,3.0,31.15,31.15,6.6,10848.0,350.0,8.048,1.157,9.566,3.396,0.439,6.949,0,30.949,-0.484,,,0.0,0.888,1.164,0.0,0.0,-0.174
2015-01-01 01:30:00+00:00,30.78,4.0,30.96,30.96,6.6,9986.0,334.0,8.052,1.157,8.71,3.189,0.441,6.988,0,29.86,-0.609,,,0.0,0.864,1.164,0.0,0.0,-0.096
2015-01-01 02:00:00+00:00,31.0,5.0,22.66,22.66,6.6,9350.0,326.0,8.052,1.157,8.011,3.199,0.43,6.967,0,28.714,-1.167,,,0.0,0.881,1.273,0.0,0.0,-0.089
2015-01-01 02:30:00+00:00,29.55,6.0,20.7,20.7,6.6,8938.0,318.0,8.055,1.156,7.574,3.196,0.429,6.96,0,28.092,-1.339,,,0.0,0.876,1.273,0.0,0.0,-0.088
2015-01-01 03:00:00+00:00,26.35,7.0,31.0,31.0,6.6,9078.0,334.0,8.059,1.153,7.74,3.211,0.426,7.026,0,27.155,-1.552,,,0.0,0.877,0.27,0.0,0.035,-0.055
2015-01-01 03:30:00+00:00,25.62,8.0,29.44,29.44,6.6,8656.0,331.0,8.06,1.065,7.405,2.948,0.427,6.931,0,26.159,-1.739,,,0.0,0.876,0.223,0.0,0.113,-0.037
2015-01-01 04:00:00+00:00,25.71,9.0,31.0,31.0,6.6,8946.0,352.0,8.065,1.103,7.693,2.993,0.427,6.929,0,25.388,-1.733,,,0.0,0.877,-1.026,0.0,0.211,0.06
2015-01-01 04:30:00+00:00,25.37,10.0,29.57,29.57,6.6,8650.0,348.0,8.057,1.072,7.398,2.889,0.433,6.727,0,24.821,-1.723,,,0.0,0.876,-1.026,0.0,0.269,0.118
2015-01-01 05:00:00+00:00,23.04,11.0,8.63,8.63,6.6,8032.0,327.0,8.058,1.051,6.775,2.671,0.45,6.706,0,24.544,-1.868,,,0.0,0.877,-0.361,0.0,0.274,0.185
2015-01-01 05:30:00+00:00,22.68,12.0,14.77,14.77,6.6,8036.0,328.0,8.065,1.045,6.727,2.654,0.449,6.689,0,24.47,-1.991,,,0.0,0.876,-0.361,0.043,0.274,0.317
