local_datetime,day_ahead_price,SP,imbalance_price,valueSum,temperature,TCO2_per_h,gCO2_per_kWh,nuclear,biomass,coal,gas,hydro,wind,solar,demand,pumped_storage,wind_onshore,wind_offshore,belgian,dutch,french,ireland,northern_ireland,irish
2021-01-01 00:00:00+00:00,68.54,1,73.15,73.15,1.7,5164.536,178.5862581693696,5.955,3.308,0.0,11.338,0.383,5.507,0.0,28.919,0.0,4.164039000000001,1.588649,1.0,0.0,2.004,0.204,0.22,0.424
2021-01-01 00:30:00+00:00,69.82,2,73.15,73.15,1.7,5292.054000000001,182.01389509888224,5.951,3.299,0.0,11.497,0.379,5.377,0.0,29.075,0.0,4.098821,1.4513710000000002,1.0,0.0,2.004,0.204,0.364,0.568
2021-01-01 01:00:00+00:00,67.42,3,72.0,72.0,1.7,5040.982,177.98302881096885,5.947,3.296,0.0,10.863,0.349,5.297,0.000824,28.322824,0.0,4.0588690000000005,1.403168,1.0,0.0,2.004,0.204,0.362,0.566
2021-01-01 01:30:00+00:00,65.45,4,71.9,71.9,1.7,4798.236,173.1027190365024,5.951,3.3,0.0,10.248,0.334,5.317,0.00101,27.71901,0.0,3.936782,1.425039,1.0,0.0,2.004,0.204,0.36,0.564
2021-01-01 02:00:00+00:00,59.44,5,71.5,71.5,1.7,4539.46,166.96534275414325,5.951,3.301,0.0,9.656,0.328,5.44,3.75e-05,27.1880375,0.0,3.893437,1.487909,1.0,0.0,2.004,0.204,0.304,0.508
2021-01-01 02:30:00+00:00,57.07,6,37.61,37.61,1.7,4355.91,162.2486760405827,5.952,3.308,0.0,9.172,0.327,5.564,0.000122,26.847122,0.0,3.843388,1.702747,1.0,0.0,2.002,0.204,0.318,0.522
2021-01-01 03:00:00+00:00,50.1,7,71.5,71.5,1.7,4336.086,163.0606263630109,5.948,3.307,0.0,9.246,0.32,5.526,0.000864,26.591864,0.0,3.954545,1.846265,0.904,0.0,1.806,0.204,0.234,0.438
2021-01-01 03:30:00+00:00,50.98,8,69.95,69.95,1.7,4122.31,158.13113033313903,5.948,3.306,0.0,8.72,0.315,5.549,0.000934,26.068934,0.0,3.982343,1.802844,0.904,0.0,1.806,0.204,0.22,0.424
2021-01-01 04:00:00+00:00,57.77,9,69.95,69.95,1.7,3940.102,152.99279158564536,5.946,3.304,0.0,8.3,0.315,5.694,0.000514,25.753514,0.0,3.988442,1.965065,0.902,0.0,1.806,0.204,0.184,0.388
2021-01-01 04:30:00+00:00,53.64,10,40.0,40.0,1.7,3787.118,148.94602438202307,5.948,3.307,0.0,7.948,0.315,5.746,0.00011,25.42611,0.0,4.052298,1.863112,0.902,0.0,1.806,0.204,0.152,0.356
2021-01-01 05:00:00+00:00,53.42,11,40.0,40.0,1.7,3712.278,146.07075677439954,5.949,3.291,0.0,7.742,0.314,5.938,0.000245,25.414245,0.0,4.154781,1.974475,0.904,0.0,1.806,0.204,0.17,0.374
2021-01-01 05:30:00+00:00,55.26,12,38.0,38.0,1.7,3677.936,145.30403466242785,5.943,3.305,0.0,7.625,0.314,5.923,1.89e-06,25.31200189,0.0,4.212736,1.978692,0.902,0.0,1.806,0.204,0.192,0.396
2021-01-01 06:00:00+00:00,57.78,13,57.78,57.78,1.7,3876.734,150.02839692173717,5.948,3.306,0.0,8.137,0.32,5.847,1.49e-06,25.84000149,0.0,4.153037,2.055134,0.952,0.0,1.904,0.204,0.174,0.378
2021-01-01 06:30:00+00:00,55.16,14,29.5,29.5,1.7,3986.8939999999993,152.25869767205972,5.945,3.31,0.0,8.427,0.343,5.888,9.57e-09,26.18500000957,0.0,4.221686,1.988065,0.952,0.0,1.904,0.204,0.164,0.368
2021-01-01 07:00:00+00:00,37.71,15,29.01,29.01,1.7,3835.294,147.6475977825685,5.955,3.298,0.0,8.197,0.388,5.996,0.0,25.976,0.0,4.271344,2.029278,0.952,0.0,1.904,0.204,0.034,0.238
2021-01-01 07:30:00+00:00,36.79,16,29.01,29.01,1.7,3898.864000000001,149.12396653754126,5.949,3.304,0.0,8.333,0.389,6.006,0.0001199999999999,26.14512,0.0,4.268172000000001,2.212956,0.95,0.0,1.906,0.204,0.054,0.258
2021-01-01 08:00:00+00:00,42.52,17,29.0736,29.0736,1.7,4180.175,155.45462991095368,5.945,3.302,0.093,8.697,0.402,6.089,1.09e-08,26.8900000109,0.0,4.2591980000000005,2.26709,0.81,0.0,2.004,0.204,0.154,0.358
2021-01-01 08:30:00+00:00,47.65,18,6.0,6.0,1.7,4560.682000000001,164.4020427503954,5.953,3.312,0.26,9.323,0.404,6.178,0.00103,27.74103,0.0,4.310719,2.3982170000000003,0.81,0.0,2.004,0.144,0.162,0.306
2021-01-01 09:00:00+00:00,41.98,19,71.45,71.45,1.7,5084.054,175.4537799465776,5.957,3.3,0.368,10.261,0.419,6.215,0.0286,28.9766,0.0,2.383397,0.058891,0.998,0.0,2.004,0.118,0.306,0.424
2021-01-01 09:30:00+00:00,44.08,20,28.0,28.0,1.7,5737.679,188.5100042711174,5.959,3.301,0.617,11.367,0.42,6.229,0.15,30.437,0.0,4.32804,2.37788,1.0,0.0,2.004,0.026,0.364,0.39
2021-01-01 10:00:00+00:00,49.93,21,38.0,38.0,1.7,6293.437,197.78864829190107,5.95,3.305,0.693,12.484,0.426,6.164,0.307,31.819,0.0,4.193711,2.428862,1.0,0.0,2.004,0.084,0.402,0.486
2021-01-01 10:30:00+00:00,46.79,22,38.0,38.0,1.7,6680.241,202.40701127136103,5.94,3.303,0.691,13.499,0.425,6.211,0.469,33.004,0.0,4.059959,2.404351,1.0,0.0,2.004,0.06,0.402,0.462
2021-01-01 11:00:00+00:00,53.42,23,73.0,73.0,1.7,7098.7570000000005,207.05139273734872,5.935,3.3,0.523,14.871,0.413,6.021,0.678,34.285,0.0,4.068476,2.4220970000000004,0.97,0.0,2.004,0.138,0.402,0.54
2021-01-01 11:30:00+00:00,60.35,24,75.0,75.0,1.7,7367.371000000001,210.2440214599624,5.934,3.293,0.459,15.642,0.412,5.872,0.83,35.042,0.0,3.989637,2.421893,0.97,0.0,2.004,0.194,0.402,0.596
2021-01-01 12:00:00+00:00,68.28,25,75.0,75.0,1.7,7757.383000000001,216.1131912522636,5.934,3.297,0.565,16.353,0.409,5.829,0.886,35.895,0.0,3.90662,2.380065,1.0,0.0,2.004,0.216,0.402,0.618
2021-01-01 12:30:00+00:00,63.13,26,73.0,73.0,1.7,8001.298000000002,219.75550672892064,5.932,3.297,0.784,16.521,0.414,5.936,0.964,36.41,0.0,3.91502,2.441546,1.0,0.0,2.004,0.156,0.402,0.558
2021-01-01 13:00:00+00:00,70.06,27,75.0,75.0,1.7,8363.781,227.91457067335207,5.93,3.297,1.125,16.644,0.431,5.71,1.01,36.697,0.0,4.010899,2.380062,1.0,0.0,2.004,0.144,0.402,0.546
